alpha,ratio,angle,facade,mean,std,min,max,p25,p50,p75,iqr,range,cv,skewness,kurtosis
Alpha1_4,1_1_2,0,Windward,0.506580,0.213442,0.028276,1.420479,0.345673,0.490676,0.641448,0.295776,1.392204,0.421339,0.493048,-0.014580
Alpha1_4,1_1_2,0,SideRight,-0.773678,0.224089,-2.445096,-0.131275,-0.902626,-0.746347,-0.613202,0.289423,2.313821,0.289641,-0.893837,2.116566
Alpha1_4,1_1_2,0,Leeward,-0.434130,0.112019,-1.082366,-0.154956,-0.493255,-0.421298,-0.357580,0.135675,0.927411,0.258032,-1.020452,2.203712
Alpha1_4,1_1_2,0,SideLeft,-0.788664,0.233320,-1.986333,-0.102807,-0.931155,-0.766876,-0.623159,0.307997,1.883526,0.295843,-0.678521,0.996869
Alpha1_4,1_1_2,5,Windward,0.526896,0.218479,-0.037967,1.490250,0.364900,0.505903,0.667135,0.302235,1.528217,0.414652,0.519210,0.166724
Alpha1_4,1_1_2,5,SideRight,-0.790633,0.239376,-1.964646,-0.189037,-0.936865,-0.761053,-0.619843,0.317022,1.775610,0.302765,-0.636483,0.502928
Alpha1_4,1_1_2,5,Leeward,-0.456084,0.108018,-0.992498,-0.148151,-0.523389,-0.443646,-0.378716,0.144674,0.844347,0.236837,-0.584962,0.469687
Alpha1_4,1_1_2,5,SideLeft,-0.800938,0.225223,-1.727331,-0.193061,-0.944623,-0.777294,-0.637312,0.307311,1.534270,0.281199,-0.560826,0.341622
Alpha1_4,1_1_2,10,Windward,0.516965,0.219572,-0.092170,1.445262,0.355716,0.497651,0.657702,0.301986,1.537432,0.424733,0.517563,0.200377
Alpha1_4,1_1_2,10,SideRight,-0.722234,0.254869,-2.200150,-0.034934,-0.885818,-0.698470,-0.538091,0.347727,2.165217,0.352890,-0.564546,0.675816
Alpha1_4,1_1_2,10,Leeward,-0.473219,0.116211,-1.186741,-0.171052,-0.542026,-0.459728,-0.390228,0.151798,1.015689,0.245577,-0.768837,1.240687
Alpha1_4,1_1_2,10,SideLeft,-0.756674,0.212348,-1.950745,-0.255359,-0.873497,-0.723127,-0.609195,0.264302,1.695385,0.280634,-0.946189,1.608296
Alpha1_4,1_1_2,15,Windward,0.511211,0.221225,-0.113823,1.362248,0.345963,0.488252,0.651251,0.305288,1.476072,0.432748,0.578170,0.243139
Alpha1_4,1_1_2,15,SideRight,-0.574282,0.247215,-1.873009,0.165366,-0.727356,-0.540566,-0.398505,0.328851,2.038375,0.430476,-0.664048,0.753876
Alpha1_4,1_1_2,15,Leeward,-0.462731,0.107903,-1.001415,-0.174686,-0.524867,-0.449567,-0.387240,0.137627,0.826729,0.233187,-0.742072,0.884967
Alpha1_4,1_1_2,15,SideLeft,-0.697887,0.182145,-1.653304,-0.194202,-0.797239,-0.671304,-0.570231,0.227008,1.459103,0.260996,-0.901664,1.345870
